_id;productDescription;batchesOfGoods[0].product.specialCharacteristics[0].specialCharacteristicType
019a4e17-80e6-7ebe-959a-f92f512c5315;pièces;
019a4e18-b23e-7f9b-9a1e-11a9097a29a1;PROFILS ALUMINIUM;
019a4e1a-ed7a-740d-b8ec-31f9c17ec205;Machine à cocktails;
019a4e1a-fb27-78e4-8496-2f0e9a90ea0c;Tubes rigides contenant rouleaux de tissus;
019a4e1b-14c5-7414-b4c9-efc94e8f8c34;Luminaires en laiton;
019a4e1c-bb70-7078-a3a2-1f6876cb9165;profils pvc;
019a4e1d-e1ec-7199-a3d3-d1bc7b4e0013;Luminaires en laiton;
019a4e28-35a3-7299-a54c-deaaf1d2008b;Machine gravure laser (fragile);
019a4e2a-e2f4-74cd-882a-cedb08e38d6f;RE;
019a4e2b-9966-79e2-ba73-4b403407233d;Caisse en bois contenant une maquette en metal;
019a4e2d-aa69-772b-b875-9a09730b4925;DE;
019a4e30-4fe8-7800-9f6c-cb4da663ee68;matériel scolaire;
019a4e41-9c36-72e2-8930-24bf8efb865b;Porte arrière occasion;
019a4e42-a514-7357-a9b9-06b0c94f8f2e;Produits métalliques;
019a4e45-0c18-7cfb-951e-25a8647f73d1;Caisse;
019a4e48-40f5-7827-af6a-514b7f64d49b;Piece mécanique pont arrière de camionnette;
019a4e49-14a9-75d5-9e7e-5dbf294e67ca;Produits métalliques;
019a4e4c-3824-7922-b3b4-9875a62a5bc1;meuble;
019a4e59-a8ee-79a7-9b12-7f229c7a8a07;equerre metalique;
019a4e5d-a880-7cb5-a140-78663cfd3873;Produits métalliques;
019a4e5e-2334-7946-a32b-ac83b5f8d1a5;Produits métalliques;
019a4e5f-6cfe-7dcf-a48f-6c6ab8770ba0;PIECES METAL ET BETON PRINCIPALEMENT;
019a4e60-c094-730f-890f-dfe15af9a5a5;Produits métalliques;
019a4e63-ae18-7bd2-97bf-3e0b232ee210;Appareillage électrique, petits cadres, Nespresso;
019a4e63-dab8-7df1-93fe-01d2f4984ce7;mallette de contrôle;
019a4e65-3edc-76aa-97f5-097d712d148a;equerre metalique;
019a4e69-e9bb-7c6d-9b96-86a163501457;rouleau mousse;
